month,subscriptions,teledensity,year,month_name
2025-07,169328686,78.11,2025,07
2025-06,171730064,79.22,2025,06
2025-05,172671934,79.65,2025,05
2025-04,172948309,79.78,2025,04
2025-03,172708410,79.67,2025,03
2025-02,170892944,78.83,2025,02
2025-01,169318076,78.1,2025,01
2024-12,164926599,76.08,2024,12
2024-11,159852945,73.74,2024,11
2024-10,157600321,72.7,2024,10
2024-09,154904827,71.46,2024,09
2024-08,159503865,73.58,2024,08
2024-07,166656227,76.88,2024,07
2024-06,170904257,78.84,2024,06
2024-05,172141538,79.41,2024,05
2024-04,216974742,100.09,2024,04
2024-03,219304281,101.16,2024,03
2024-02,219970313,101.47,2024,02
2024-01,218400965,100.75,2024,01
2023-12,224713710,103.66,2023,12
2023-11,223220009,102.97,2023,11
2023-10,222188195,102.49,2023,10
2023-09,221769883,102.3,2023,09
2023-08,220715961,115.63,2023,08
2023-07,220860987,115.7,2023,07
2023-06,220086951,115.3,2023,06
2023-05,221258372,115.91,2023,05
2023-04,223663521,117.17,2023,04
2023-03,226161713,118.48,2023,03
2023-02,227179946,119.01,2023,02
2023-01,226226754,118.51,2023,01
2022-12,222571568,116.6,2022,12
2022-11,218953849,114.7,2022,11
2022-10,214696227,112.47,2022,10
2022-09,212201578,111.17,2022,09
2022-08,209952619,109.99,2022,08
2022-07,208969445,109.47,2022,07
2022-06,206449125,108.15,2022,06
2022-05,204578953,107.17,2022,05
2022-04,201670650,105.65,2022,04
2022-03,199558540,104.54,2022,03
2022-02,198123431,103.79,2022,02
2022-01,197499028,103.46,2022,01
2021-12,195463898,102.4,2021,12
2021-11,193186325,101.2,2021,11
2021-10,191951769,100.56,2021,10
2021-09,190854069,99.98,2021,09
2021-08,189330257,99.18,2021,08
2021-07,187805237,98.39,2021,07
2021-06,187611501,98.28,2021,06
2021-05,187026517,97.98,2021,05
2021-04,188705734,98.86,2021,04
2021-03,192413613,100.8,2021,03
2021-02,196078494,102.72,2021,02
2021-01,200213994,104.89,2021,01
2020-12,204601313,107.18,2020,12
2020-11,207907709,108.92,2020,11
2020-10,207954737,108.94,2020,10
2020-09,205252058,107.52,2020,09
2020-08,203529809,106.62,2020,08
2020-07,199307796,104.41,2020,07
2020-06,196242456,102.81,2020,06
2020-05,192130804,100.65,2020,05
2020-04,190668981,99.89,2020,04
2020-03,189145710,99.09,2020,03
2020-02,187435821,98.19,2020,02
2020-01,186023609,97.45,2020,01
2019-12,184699409,96.76,2019,12
2019-11,182702988,95.71,2019,11
2019-10,180386316,94.5,2019,10
2019-09,179176930,93.87,2019,09
2019-08,176897879,92.67,2019,08
2019-07,174950011,91.65,2019,07
2019-06,174024116,91.17,2019,06
2019-05,173672333,90.98,2019,05
2019-04,173641060,90.97,2019,04
2019-03,173713842,91,2019,03
2019-02,173670035,124.05,2019,02
2019-01,174012136,124.29,2019,01
2018-12,172871094,123.48,2018,12
2018-11,169104830,120.79,2018,11
2018-10,165239443,118.03,2018,10
2018-09,162058918,115.76,2018,09
2018-08,160886485,114.92,2018,08
2018-07,161792917,115.57,2018,07
2018-06,162763480,116.26,2018,06
2018-05,162522772,116.09,2018,05
2018-04,160524590,114.66,2018,04
2018-03,149293870,106.64,2018,03
2018-02,148398425,106,2018,02
2018-01,147296344,105.21,2018,01
2017-12,145059514,103.61,2017,12
2017-11,142320120,101.66,2017,11
2017-10,140766653,100.55,2017,10
2017-09,139905213,99.93,2017,09
2017-08,139444227,99.6,2017,08
2017-07,139144705,99.39,2017,07
2017-06,143064490,102.19,2017,06
2017-05,145350702,103.82,2017,05
2017-04,149249510,106.61,2017,04
2017-03,152467198,108.91,2017,03
2017-02,154120484,110.09,2017,02
2017-01,155113547,110.8,2017,01
2016-12,154529780,110.38,2016,12
2016-11,153949450,109.96,2016,11
2016-10,153514107,109.65,2016,10
2016-09,153299535,109.51,2016,09
2016-08,152800848,109.14,2016,08
2016-07,150262066,107.33,2016,07
2016-06,149818906,107.01,2016,06
2016-05,148848158,106.32,2016,05
2016-04,147568310,105.41,2016,04
2016-03,148745464,106.25,2016,03
2016-02,148620359,106.16,2016,02
2016-01,151357769,108.11,2016,01
2015-12,151017244,107.87,2015,12
2015-11,152123172,107.66,2015,11
2015-10,152003124,107.57,2015,10
2015-09,150660631,107.61,2015,09
2015-08,151018624,107.87,2015,08
2015-07,150741005,107.67,2015,07
2015-06,148775410,106.27,2015,06
2015-05,146561744,104.69,2015,05
2015-04,145476326,103.91,2015,04
2015-03,143934208,102.81,2015,03
2015-02,142589775,101.85,2015,02
2015-01,140822483,100.59,2015,01
2014-12,139143610,99.39,2014,12
2014-11,136637853,97.6,2014,11
2014-10,135618994,96.87,2014,10
2014-09,134507196,96.08,2014,09
2014-08,133282003,95.2,2014,08
2014-07,132186840,94.42,2014,07
2014-06,132780703,94.84,2014,06
2014-05,131182520,93.7,2014,05
2014-04,129391392,92.24,2014,04
2014-03,127097196,90.78,2014,03
2014-02,128264572,91.62,2014,02
2014-01,127960580,91.4,2014,01
2013-12,127606629,91.15,2013,12
2013-11,123740224,88.39,2013,11
2013-10,121888014,87.06,2013,10
2013-09,121271218,86.62,2013,09
2013-08,112662439,80.47,2013,08
2013-07,114760406,81.97,2013,07
2013-06,120362218,85.97,2013,06
2013-05,120748754,86.25,2013,05
2013-04,119356665,85.25,2013,04
2013-03,117281669,83.77,2013,03
2013-02,116601637,83.29,2013,02
2013-01,114492384,81.78,2013,01
2012-12,113195951,80.85,2012,12
2012-11,110348131,78.82,2012,11
2012-10,109499882,78.21,2012,10
2012-09,107367095,76.69,2012,09
2012-08,105239815,75.17,2012,08
2012-07,103425458,73.88,2012,07
2012-06,102369999,73.12,2012,06
2012-05,101814533,72.72,2012,05
NA,NA,NA,NA,NA
