MONTH,Subscriptions,Teledensity(%)
Jul'25,"169,328,686",78.11
Jun'25,"171,730,064",79.22
May'25,"172,671,934",79.65
Apr'25,"172,948,309",79.78
Mar'25,"172,708,410",79.67
Feb'25,"170,892,944",78.83
Jan'25,"169,318,076",78.1
Dec'24,"164,926,599",76.08
Nov'24,"159,852,945",73.74
Oct'24,"157,600,321",72.7
Sep'24,"154,904,827",71.46
Aug'24,"159,503,865",73.58
Jul'24,"166,656,227",76.88
Jun'24,"170,904,257",78.84
May'24,"172,141,538",79.41
Apr'24,"216,974,742",100.09
Mar'24,"219,304,281",101.16
Feb'24,"219,970,313",101.47
Jan'24,"218,400,965",100.75
Dec'23,"224,713,710",103.66
Nov'23,"223,220,009",102.97
Oct'23,"222,188,195",102.49
Sep'23,"221,769,883",102.3
Aug'23,"220,715,961",115.63
Jul'23,"220,860,987",115.7
Jun'23,"220,086,951",115.3
May'23,"221,258,372",115.91
Apr'23,"223,663,521",117.17
Mar'23,"226,161,713",118.48
Feb'23,"227,179,946",119.01
Jan'23,"226,226,754",118.51
Dec'22,"222,571,568",116.6
Nov'22,"218,953,849",114.7
Oct'22,"214,696,227",112.47
Sep'22,"212,201,578",111.17
Aug'22,"209,952,619",109.99
Jul'22,"208,969,445",109.47
Jun'22,"206,449,125",108.15
May'22,"204,578,953",107.17
Apr'22,"201,670,650",105.65
Mar'22,"199,558,540",104.54
Feb'22,"198,123,431",103.79
Jan'22,"197,499,028",103.46
Dec'21,"195,463,898",102.4
Nov'21,"193,186,325",101.2
Oct'21,"191,951,769",100.56
Sep'21,"190,854,069",99.98
Aug'21,"189,330,257",99.18
Jul'21,"187,805,237",98.39
Jun'21,"187,611,501",98.28
May'21,"187,026,517",97.98
Apr'21,"188,705,734",98.86
Mar'21,"192,413,613",100.8
Feb'21,"196,078,494",102.72
Jan'21,"200,213,994",104.89
Dec'20,"204,601,313",107.18
Nov'20,"207,907,709",108.92
Oct'20,"207,954,737",108.94
Sep'20,"205,252,058",107.52
Aug'20,"203,529,809",106.62
Jul'20,"199,307,796",104.41
Jun'20,"196,242,456",102.81
May'20,"192,130,804",100.65
Apr'20,"190,668,981",99.89
Mar'20,"189,145,710",99.09
Feb'20,"187,435,821",98.19
Jan'20,"186,023,609",97.45
Dec'19,"184,699,409",96.76
Nov'19,"182,702,988",95.71
Oct'19,"180,386,316",94.5
Sep'19,"179,176,930",93.87
Aug'19,"176,897,879",92.67
Jul'19,"174,950,011",91.65
Jun'19,"174,024,116",91.17
May'19,"173,672,333",90.98
Apr'19,"173,641,060",90.97
Mar'19,"173,713,842",91
Feb'19,"173,670,035",124.05
Jan'19,"174,012,136",124.29
Dec'18,"172,871,094",123.48
Nov'18,"169,104,830",120.79
Oct'18,"165,239,443",118.03
Sep'18,"162,058,918",115.76
Aug'18,"160,886,485",114.92
Jul'18,"161,792,917",115.57
Jun'18,"162,763,480",116.26
May'18,"162,522,772",116.09
Apr'18,"160,524,590",114.66
Mar'18,"149,293,870",106.64
Feb'18,"148,398,425",106
Jan'18,"147,296,344",105.21
Dec'17,"145,059,514",103.61
Nov'17,"142,320,120",101.66
Oct'17,"140,766,653",100.55
Sep'17,"139,905,213",99.93
Aug'17,"139,444,227",99.6
Jul'17,"139,144,705",99.39
Jun'17,"143,064,490",102.19
May'17,"145,350,702",103.82
Apr'17,"149,249,510",106.61
Mar'17,"152,467,198",108.91
Feb'17,"154,120,484",110.09
Jan'17,"155,113,547",110.8
Dec'16,"154,529,780",110.38
Nov'16,"153,949,450",109.96
Oct'16,"153,514,107",109.65
Sep'16,"153,299,535",109.51
Aug'16,"152,800,848",109.14
Jul'16,"150,262,066",107.33
Jun'16,"149,818,906",107.01
May'16,"148,848,158",106.32
Apr'16,"147,568,310",105.41
Mar'16,"148,745,464",106.25
Feb'16,"148,620,359",106.16
Jan'16,"151,357,769",108.11
Dec'15,"151,017,244",107.87
Nov'15,"152,123,172",107.66
Oct'15,"152,003,124",107.57
Sep'15,"150,660,631",107.61
Aug'15,"151,018,624",107.87
Jul'15,"150,741,005",107.67
Jun'15,"148,775,410",106.27
May'15,"146,561,744",104.69
Apr'15,"145,476,326",103.91
Mar'15,"143,934,208",102.81
Feb'15,"142,589,775",101.85
Jan'15,"140,822,483",100.59
Dec'14,"139,143,610",99.39
Nov'14,"136,637,853",97.6
Oct'14,"135,618,994",96.87
Sep'14,"134,507,196",96.08
Aug'14,"133,282,003",95.2
Jul'14,"132,186,840",94.42
Jun'14,"132,780,703",94.84
May'14,"131,182,520",93.7
Apr'14,"129,391,392",92.24
Mar'14,"127,097,196",90.78
Feb'14,"128,264,572",91.62
Jan'14,"127,960,580",91.4
Dec'13,"127,606,629",91.15
Nov'13,"123,740,224",88.39
Oct'13,"121,888,014",87.06
Sep'13,"121,271,218",86.62
Aug'13,"112,662,439",80.47
Jul'13,"114,760,406",81.97
Jun'13,"120,362,218",85.97
May'13,"120,748,754",86.25
Apr'13,"119,356,665",85.25
Mar'13,"117,281,669",83.77
Feb'13,"116,601,637",83.29
Jan'13,"114,492,384",81.78
Dec'12,"113,195,951",80.85
Nov'12,"110,348,131",78.82
Oct'12,"109,499,882",78.21
Sep'12,"107,367,095",76.69
Aug'12,"105,239,815",75.17
Jul'12,"103,425,458",73.88
Jun'12,"102,369,999",73.12
May'12,"101,814,533",72.72
,,
